Assessment_Unit_Name,SEZ_ID,SEZ_Type
Antone meadows,366,Riverine (Perennial)
Snow Creek wetlands - 1,367,Riverine (Perennial)
Saxon Creek meadows - below Fountain Place,368,Riverine (Perennial)
Saxon Creek meadows - above Fountain Place 1,369,Riverine (Perennial)
Hell Hole Meadows - 2,371,Riverine (Perennial)
Trout Creek headwaters meadows - 2,372,Riverine (Perennial)
small meadow 1,373,Riverine (Perennial)
Ginny Lake Meadows,374,Riverine (Perennial)
Third Creek meadows - 8,375,Riverine (Perennial)
Third Creek meadows - 7,376,Riverine (Perennial)
small meadow 15,377,Riverine (Perennial)
small meadow 13,378,Riverine (Perennial)
small meadow 16,379,Riverine (Perennial)
small meadow 50,380,Riverine (Perennial)
small meadow 111,381,Riverine (Perennial)
small meadow 7,382,Riverine (Perennial)
small meadow 17,383,Riverine (Perennial)
small meadow 92,384,Riverine (Perennial)
Marlette Lake meadows,385,Riverine (Perennial)
Third Creek meadows - 3,386,Riverine (Perennial)
Griff Creek meadows,387,Riverine (Perennial)
Meeks Bay meadows - 3,388,Riverine (Perennial)
Big Meadow - 4,389,Riverine (Perennial)
small meadow 52,390,Riverine (Perennial)
small meadow 95,391,Riverine (Perennial)
Star Lake meadows,392,Riverine (Perennial)
Big Meadow - 1,393,Riverine (Perennial)
Rubicon Meadows,394,Riverine (Perennial)
McFual meadow,395,Riverine (Perennial)
UTR Marsh - UTR side,396,Riverine (Perennial)
UTR - Reach 5,397,Riverine (Perennial)
UTR - Johnson meadows - 2,398,Riverine (Perennial)
UTR - Johnson meadows - 3,399,Riverine (Perennial)
UTR - Airport reach,400,Riverine (Perennial)
UTR - Reach 6,401,Riverine (Perennial)
UTR - golf course meadows,402,Riverine (Perennial)
Angora meadows - 1,403,Riverine (Perennial)
Angora meadows - 8,404,Riverine (Perennial)
Angora meadows - 2,405,Riverine (Perennial)
Angora meadows - 3,406,Riverine (Perennial)
Saxon Creek tributary meadows - 1,407,Riverine (Perennial)
Saxon Creek meadows - above Fountain Place 2,408,Riverine (Perennial)
Trout Creek meadows - above Pioneer 4,409,Riverine (Perennial)
Trout Creek meadows - above Pioneer 2,410,Riverine (Perennial)
Trout Creek meadows - above Pioneer 1,411,Riverine (Perennial)
Trout Creek - Highland Woods,412,Riverine (Perennial)
Cold Creek - Highland Woods,413,Riverine (Perennial)
Heavenly Valley Creek meadows - 1,414,Riverine (Perennial)
Heavenly Valley Creek meadows - 2,415,Riverine (Perennial)
Heavenly Valley Creek meadows - 3,416,Riverine (Perennial)
Heavenly Valley Creek meadows - 4,417,Riverine (Perennial)
Kahle meadows - 5,418,Riverine (Perennial)
Meiss meadows - 3,419,Riverine (Perennial)
Benwood meadows - 1,420,Riverine (Perennial)
Christmas Valley meadows - 3,421,Riverine (Perennial)
Benwood meadows - 2,422,Riverine (Perennial)
small meadow 113,423,Riverine (Perennial)
Angora meadows - 6,424,Riverine (Perennial)
Trout Creek above Black Bart,425,Riverine (Perennial)
Baldwin marsh - 1,426,Riverine (Perennial)
Trout Creek below Black Bart,427,Riverine (Perennial)
Burke Creek meadows - 1,428,Riverine (Perennial)
Buck Lake meadows,429,Riverine (Perennial)
Glenbrook meadows - 1,430,Riverine (Perennial)
Spooner meadows - 2,431,Riverine (Perennial)
Lake Forest meadows - 3,432,Riverine (Perennial)
Snow Creek wetlands - 2,433,Riverine (Perennial)
Incline Lake meadows - 2,434,Riverine (Perennial)
Third Creek meadows - 1,435,Riverine (Perennial)
High meadows - 2,436,Riverine (Perennial)
High meadows - 6,437,Riverine (Perennial)
High meadows - 4,438,Riverine (Perennial)
High meadows - 1,439,Riverine (Perennial)
Meeks Bay meadows - 2,440,Riverine (Perennial)
Meeks Bay meadows - 1,441,Riverine (Perennial)
Meiss meadows - 4,442,Riverine (Perennial)
Meiss meadows - 5,443,Riverine (Perennial)
Hell Hole meadows - 1,444,Riverine (Perennial)
Spooner meadows - 1,445,Riverine (Perennial)
Blackwood Creek - lower 2,470,Riverine (Perennial)
Blackwood Creek - middle 3,471,Riverine (Perennial)
Kahle meadows - 3,472,Riverine (Perennial)
Meeks Bay Lagoon,473,Riverine (Perennial)
Kahle meadows - 6,474,Riverine (Perennial)
North Zephyr Creek - middle,475,Riverine (Perennial)
