Year,TRPA_10,TRPA_100,TRPA_102,TRPA_103,TRPA_104,TRPA_106,TRPA_108,TRPA_109,TRPA_110,TRPA_112,TRPA_113,TRPA_115,TRPA_116,TRPA_117,TRPA_118,TRPA_119,TRPA_12,TRPA_121,TRPA_125,TRPA_126,TRPA_127,TRPA_128,TRPA_13,TRPA_131,TRPA_133,TRPA_136,TRPA_137,TRPA_138,TRPA_139,TRPA_14,TRPA_140,TRPA_141,TRPA_142,TRPA_144,TRPA_145,TRPA_146,TRPA_148,TRPA_149,TRPA_150,TRPA_151,TRPA_152,TRPA_153,TRPA_155,TRPA_156,TRPA_157,TRPA_158,TRPA_159,TRPA_16,TRPA_160,TRPA_161,TRPA_162,TRPA_163,TRPA_164,TRPA_165,TRPA_166,TRPA_167,TRPA_168,TRPA_169,TRPA_17,TRPA_170,TRPA_171,TRPA_172,TRPA_174,TRPA_175,TRPA_176,TRPA_177,TRPA_179,TRPA_18,TRPA_180,TRPA_181,TRPA_182,TRPA_183,TRPA_184,TRPA_185,TRPA_186,TRPA_188,TRPA_19,TRPA_190,TRPA_191,TRPA_192,TRPA_194,TRPA_195,TRPA_196,TRPA_197,TRPA_198,TRPA_199,TRPA_2,TRPA_20,TRPA_200,TRPA_202,TRPA_203,TRPA_204,TRPA_205,TRPA_206,TRPA_207,TRPA_208,TRPA_21,TRPA_210,TRPA_212,TRPA_214,TRPA_215,TRPA_219,TRPA_220,TRPA_221,TRPA_222,TRPA_223,TRPA_224,TRPA_226,TRPA_228,TRPA_229,TRPA_23,TRPA_231,TRPA_233,TRPA_235,TRPA_236,TRPA_237,TRPA_238,TRPA_240,TRPA_241,TRPA_242,TRPA_243,TRPA_245,TRPA_246,TRPA_247,TRPA_248,TRPA_249,TRPA_25,TRPA_250,TRPA_251,TRPA_252,TRPA_253,TRPA_254,TRPA_255,TRPA_256,TRPA_257,TRPA_258,TRPA_259,TRPA_26,TRPA_260,TRPA_261,TRPA_262,TRPA_263,TRPA_264,TRPA_265,TRPA_266,TRPA_267,TRPA_268,TRPA_269,TRPA_27,TRPA_270,TRPA_274,TRPA_276,TRPA_277,TRPA_279,TRPA_28,TRPA_283,TRPA_284,TRPA_286,TRPA_287,TRPA_288,TRPA_29,TRPA_290,TRPA_291,TRPA_293,TRPA_294,TRPA_295,TRPA_296,TRPA_299,TRPA_30,TRPA_301,TRPA_304,TRPA_306,TRPA_307,TRPA_308,TRPA_309,TRPA_31,TRPA_310,TRPA_311,TRPA_312,TRPA_313,TRPA_314,TRPA_316,TRPA_318,TRPA_319,TRPA_32,TRPA_321,TRPA_322,TRPA_323,TRPA_324,TRPA_325,TRPA_326,TRPA_328,TRPA_329,TRPA_33,TRPA_330,TRPA_331,TRPA_333,TRPA_334,TRPA_335,TRPA_336,TRPA_337,TRPA_338,TRPA_339,TRPA_34,TRPA_340,TRPA_341,TRPA_342,TRPA_343,TRPA_344,TRPA_346,TRPA_348,TRPA_35,TRPA_351,TRPA_352,TRPA_353,TRPA_355,TRPA_356,TRPA_359,TRPA_36,TRPA_360,TRPA_362,TRPA_363,TRPA_364,TRPA_366,TRPA_367,TRPA_368,TRPA_369,TRPA_37,TRPA_370,TRPA_371,TRPA_372,TRPA_373,TRPA_374,TRPA_375,TRPA_377,TRPA_378,TRPA_38,TRPA_380,TRPA_381,TRPA_382,TRPA_383,TRPA_384,TRPA_385,TRPA_386,TRPA_387,TRPA_388,TRPA_389,TRPA_39,TRPA_390,TRPA_391,TRPA_392,TRPA_393,TRPA_394,TRPA_395,TRPA_399,TRPA_40,TRPA_400,TRPA_401,TRPA_402,TRPA_403,TRPA_404,TRPA_41,TRPA_42,TRPA_43,TRPA_44,TRPA_46,TRPA_48,TRPA_49,TRPA_50,TRPA_51,TRPA_52,TRPA_53,TRPA_54,TRPA_55,TRPA_57,TRPA_58,TRPA_59,TRPA_6,TRPA_60,TRPA_61,TRPA_62,TRPA_63,TRPA_65,TRPA_66,TRPA_67,TRPA_68,TRPA_69,TRPA_7,TRPA_70,TRPA_71,TRPA_72,TRPA_73,TRPA_74,TRPA_75,TRPA_76,TRPA_78,TRPA_79,TRPA_80,TRPA_81,TRPA_82,TRPA_83,TRPA_84,TRPA_85,TRPA_86,TRPA_87,TRPA_88,TRPA_90,TRPA_91,TRPA_92,TRPA_93,TRPA_94,TRPA_95,TRPA_96,TRPA_97,TRPA_98
1984,0.6771838886673605,0.6393629844103162,0.693073472170089,0.7192691222380216,0.6817600300134703,0.3530308295443027,0.7982729430613361,0.7662686008717345,0.6326093845477748,0.6703279014450418,0.6477441794285576,0.6530092060491972,0.4292,0.574445077792453,0.6439211425216871,0.4807,0.7135180612053488,0.5801,0.6127139883600877,0.6287976677839371,0.5831879119152505,0.6830483043878185,0.5034016540776256,0.6683312202533689,0.6808,0.6803913016625044,0.634388721850793,0.5628652013479962,0.5927608110628764,0.708879295097445,0.5073771837087704,0.5549824907221457,0.6756806516748295,0.5508878439847773,0.3707,0.774593539371284,0.4499248941092876,0.67429619183743,0.6037451733466115,0.5874028880303848,0.5741906268095275,0.5410507688421264,0.6326231692872597,0.6526033379092849,0.3786,0.6758243960565322,0.6570511930312054,0.5089175906095229,0.5837041688383487,0.632442837239122,0.6347370906088631,0.5872910388129691,0.33611363068794614,0.6304404652112565,0.65434426861541,0.1956,0.6606699012401817,0.5897739805649743,0.5472702189087308,0.4647,0.6138460293673652,0.7550776007336414,0.7243740653971846,0.7038868539294103,0.5571138274240723,0.6385854231825654,0.6652422175065817,0.4501861243233067,0.6869104486364913,0.7635172134203689,0.6483,0.7652578328698787,0.5257700015840117,0.6623538499309322,0.6974091540204844,0.3803704171769975,0.6280842540890295,0.6441213805745956,0.29231489182959325,0.8124445012411408,0.3759852798148741,0.6398779088567704,0.7422544376847263,0.5122434517801369,0.5172,0.6699258003503489,0.4084043735470675,0.6037600256418838,0.4738414434361615,0.6813949291656235,0.6791,0.6735788189973441,0.7604446890849745,0.6539,0.6469,0.5583,0.578846732167921,0.6692683000795686,0.637,0.6818573093100959,0.6760790613105364,0.6822973084253143,0.7336668027303639,0.8152875367338562,0.7749991151822413,0.6977240827581429,0.7376219589662176,0.7644138438821462,0.7494332983451621,0.6649136853300607,0.5554329195379918,0.7448502311643762,0.710895376945069,0.7101553787899951,0.6359119322528702,0.49935665892692976,0.657860308378798,0.49193365847879683,0.7322245551739793,0.48781802685184816,0.5133266574132097,0.6535396973202278,0.4730032176100685,0.7149,0.5456556717187356,0.5053682363962165,0.6688735412471907,0.6096,0.8288212602527922,0.589214051681129,0.7406490844441894,0.6756351331056032,0.4024,0.5282,0.5925745038829008,0.6281807087907696,0.4969614831437883,0.6468350841895995,0.7905,0.7510415938241716,0.7174775066451373,0.6153863530036852,0.5828092999840893,0.6088119815584103,0.5869935417680017,0.5999754925069145,0.6844,0.7186,0.7161645506787788,0.6454317723708937,0.6067755713269353,0.5138524226388593,0.5727408708045181,0.5833,0.6299846380182602,0.6947384390325988,0.6208073244865693,0.55388271624578,0.6847006145723937,0.600098082610018,0.6239781287264007,0.558624901992917,0.6061114902664577,0.5619739593678754,0.6533467185842453,0.5902670239214096,0.549608310073997,0.6928917784422683,0.6704326897082719,0.5171378862518692,0.6387339263530926,0.704241365490788,0.5705204660166106,0.629476470302067,0.6517181810486429,0.6820152940467976,0.6880648735488617,0.6531,0.603926851653404,0.6635160156606036,0.3857,0.5592,0.4986947332637534,0.4082,0.5395859096741958,0.7265793427070844,0.58541438506227,0.5710920153098844,0.6745082755364027,0.6385814191191143,0.5798568362162583,0.5668100455456024,0.6096180662008412,0.6896175538002097,0.7290509895085905,0.5589,0.7460350947770757,0.6263705317467214,0.33319925471270734,0.6643626904332788,0.5958840740555016,0.5632186436356166,0.5642751370168916,0.7033403576776737,0.5917693367299791,0.6156057427416421,0.5926502975196325,0.5057542173021563,0.3440082364856315,0.6845057162421346,0.4656472986145381,0.6478495921035982,0.4738154710263447,0.3629804580538065,0.3252781440210868,0.4741040158148001,0.5366686193319639,0.51422797358142,0.7323113479168428,0.49842151603160356,0.6801152935289424,0.4932,0.5191,0.441383486977406,0.5771627093369608,0.6480451419697998,0.5945464515652935,0.5680015121175559,0.48947138557353115,0.6916786578974151,0.6103706333682385,0.6256507936432755,0.48116860534316364,0.337106895839111,0.4266610951949978,0.5945235646352719,0.6664717338101956,0.5702604497844087,0.48712533042772177,0.32302782050229123,0.5170712124303618,0.4141076976411392,0.3785675302169189,0.527623627758014,0.5437188783838125,0.350300851199012,0.7392026451546533,0.7293723836428547,0.6579092899589164,0.6656,0.5958786289507563,0.625395371795064,0.5496230257112102,0.6853060544184497,0.5192473001030233,0.5887219702617668,0.6343432398516511,0.5746654629934866,0.6353860589260089,0.5823036129832287,0.5011624537967929,0.7417646651988097,0.7348416710369198,0.6651403944188043,0.622357904453684,0.717312790257212,0.7096809472672976,0.7566868929956795,0.6978182497155769,0.6926532838515342,0.7773746406011125,0.7502290178074048,0.651769482452168,0.7535289791238255,0.8064999105310935,0.505728849664155,0.6527568590390664,0.5395308733123861,0.6501237200659521,0.7555696653960211,0.6455424203176509,0.8065069957047803,0.79,0.7480786123074687,0.64684491105375,0.6567003413762876,0.6905920474232754,0.672668921760379,0.749004740648597,0.6501696956321616,0.7052011535463358,0.6519695695423747,0.5717,0.7477272017034345,0.7640721691410978,0.6838,0.7150380385986428,0.5669632553186034,0.5585,0.5887864509145941,0.7707541235289684,0.7162945601058264,0.6405633978187215,0.684788111143174,0.6352445020474972,0.6305658141289259,0.6357992613328182,0.6635710832563714,0.5909511584895566,0.6538261802787924,0.7123152581351828,0.6622895785703607,0.7766765393594273,0.634,0.6244944744172259
1985,0.7104711537856507,0.690040308348736,0.6981119965066651,0.755637795714493,0.7155574745308263,0.3484330009086665,0.8191134932054994,0.7648729475975434,0.5778627695374468,0.6989061726642384,0.6990911302586482,0.6720769911674153,0.4545,0.6151148803309624,0.6301239705603231,0.4483,0.7393308934532541,0.6307,0.5245261996273901,0.6091386013640844,0.5043666855933936,0.7720946087475412,0.6134485018321469,0.7082786711454003,0.6868,0.6938292901887451,0.6801011476613132,0.5418052782697246,0.574891799591554,0.735203610806366,0.5141661114421882,0.5477321619511016,0.6299627143882119,0.5606655335006193,0.2774,0.7432221958627339,0.40312051122610093,0.7527885436082744,0.5641144597180564,0.5715812908025961,0.5157333565470721,0.41937220552549914,0.599522662821204,0.656126691673592,0.3998,0.7173818516875866,0.7111533794586946,0.5583681200178973,0.6241327649508526,0.6339663787888138,0.709197709687584,0.5392913381641774,0.3302100183763491,0.6298313938064902,0.6584495930872052,0.2085,0.7099027112826498,0.6721258098366604,0.5841097806271446,0.4737,0.6041408824610047,0.7738875956045649,0.7293900172863402,0.7473840156840826,0.6992494868717956,0.6566218029055954,0.7129392631081832,0.47364280891346794,0.6625343573489635,0.7296901341597617,0.6672,0.7397861708495136,0.47168797847653954,0.7355935509656986,0.6204432337987424,0.4591952290274559,0.6810829798849344,0.7351955649760685,0.3721285994930687,0.8355887070717865,0.48303460959524275,0.6245352874780535,0.7816461631985145,0.5629153568873752,0.5375,0.7031901002481603,0.3980918452016134,0.5538676176110179,0.5985994676098084,0.7646972382771541,0.6896,0.7617748356478902,0.7894045239799612,0.7103,0.6747,0.5971,0.5793584832580323,0.686411473463991,0.7114,0.7964135079651429,0.686413087543563,0.6998467724552595,0.7316141716044642,0.8080611273697209,0.7821252356603662,0.7581484705051803,0.7788870060955223,0.815098661071935,0.7734116003916619,0.6934141459470625,0.6551008822160825,0.7338531953491698,0.7427913025452643,0.7519090341917932,0.6961318947595584,0.5120247552618412,0.7079993947025869,0.48039459060551853,0.7629916126305306,0.44480467243948385,0.6003275814979678,0.7328864257243064,0.516432177513518,0.8113,0.6302715653212384,0.5107939953662042,0.6483333831754292,0.6702,0.819865263632544,0.7050486193099325,0.7576003963856776,0.7832609115698824,0.4128,0.6276,0.6623686358777067,0.8077150178582182,0.5824571855140482,0.6665079328011047,0.8278,0.7682420869719913,0.7589304060652013,0.7161881274920829,0.6292210319329424,0.6477973252927062,0.615665399102596,0.6754710343793429,0.7004,0.6813,0.6691163982343018,0.7372730116044095,0.6455620271725461,0.5240945709214416,0.5950110683916293,0.7243,0.7282586406227686,0.6848531096185433,0.6624638585350908,0.5722057024484661,0.6703351317532583,0.7180203948631846,0.6989538720503309,0.5701069537442148,0.6214299283957262,0.5190069932595449,0.7171510310455995,0.5997789308049625,0.5815007174758279,0.7672581405102447,0.5338572211359028,0.5161021503779518,0.6160217675162978,0.7542838027519706,0.7448760048695393,0.6716052475458933,0.4936549225781048,0.7800490869382507,0.7451125739872108,0.7091,0.5430194399893594,0.6900645378272503,0.4092,0.6223,0.5278495607752246,0.376,0.557994118060726,0.7180301872408769,0.5280784830466098,0.5115287152873181,0.5737035233268911,0.6710288166843489,0.6555081559053874,0.5989003845615465,0.6413243137585473,0.6642934382689969,0.700071221301042,0.6351,0.7424390291673171,0.6185902929353018,0.423998030590371,0.6702312936032323,0.6499746785754184,0.6106985345322941,0.5349859266320146,0.7521474734717312,0.5190822353410454,0.5498561935239915,0.5862022602597227,0.5097465341476858,0.3109058092651118,0.6011571951369696,0.544059632313893,0.6894088048333735,0.5068227643973331,0.3484964409608744,0.3220484703853927,0.4920313338825341,0.5844752868938361,0.5521467609825946,0.7955682358525217,0.5063422417810326,0.6965876796338324,0.5391,0.5208,0.4413102156067763,0.6106275309479304,0.6611846384567652,0.6262036553998833,0.5913081118711377,0.5749191199803921,0.6747701969995613,0.5516950665940105,0.6287922834731949,0.4395828864395456,0.3255496627473027,0.42078971055523107,0.5659128111885798,0.7309733320414353,0.5825714913717666,0.5090880747437646,0.47241327452293536,0.5475699682906757,0.4302603913643862,0.4055098562063353,0.6491157194540215,0.596007116260235,0.5050810883013525,0.7241767407920136,0.7374887847171062,0.6812522332649054,0.6864,0.5989261973047503,0.6712759177296518,0.4565013378859264,0.6983844190665612,0.5686596563856908,0.675750976596065,0.5332642977972206,0.6278279189947329,0.6683672691452247,0.5562748127684921,0.6178149619597509,0.6926637836167042,0.7662459855676016,0.6812530692071896,0.645516042466145,0.6600587513490541,0.7234599188708215,0.7669306333555526,0.6779284096675718,0.7586964829686553,0.7859043466506235,0.7939392501638772,0.7279797622086085,0.7374156063588049,0.7499119089091557,0.62359554293055,0.6556662835924785,0.577178345678796,0.7132579098418642,0.7461364803395686,0.6814154869792497,0.7242012490230154,0.8175,0.7650951328426991,0.7158405198278625,0.6742205537392025,0.7193703706652281,0.6544047540313417,0.7663770900001109,0.6344640354247795,0.733291987317862,0.6562224913685999,0.5982,0.7762316088552927,0.7818879190860514,0.6992,0.732149425518466,0.5772582683595794,0.5796,0.6162492966925598,0.7711086046729213,0.7288873903453306,0.6410286555204286,0.7586639333976043,0.6708374288165293,0.6038107659096067,0.6151759280088072,0.6820334642173925,0.7447591811026378,0.6783878977248803,0.7042763060735433,0.6747069645540984,0.7848733291555358,0.6785,0.6227116032268339
1986,0.63888135394497,0.6601843192573245,0.6566250321656021,0.7151518446250611,0.6832577095598351,0.3776354615541289,0.8049470546873041,0.7522115887931214,0.5572669609887008,0.6815479947118344,0.7301828712489276,0.625129461022493,0.4426,0.5707099159119051,0.662585747361191,0.4721,0.6889760094903874,0.5883,0.5222513742606223,0.6111038408244034,0.4846408241912467,0.7202608974447953,0.5219189133601422,0.6448877612732287,0.689,0.6634768962292167,0.63955488210538,0.5202556377046509,0.5338376398356423,0.7252095907682197,0.4537590659488999,0.4760908465372954,0.6125278762127582,0.519876471387867,0.2839,0.7148585954243881,0.37731289821282576,0.6803224224602743,0.5586891253217613,0.482740831335822,0.5592518585723193,0.3851015613442689,0.5086126646451298,0.5901785255513721,0.3948,0.6505073165389997,0.6734439350246388,0.5156527586742725,0.5537680279839698,0.5648262301156513,0.5651388376402314,0.5068526412857728,0.2742893303857712,0.554189427674962,0.5914624500065413,0.2275,0.6698177243365416,0.5619309687668823,0.560099454723719,0.4985,0.5797481856683456,0.7348697458984854,0.7046555496610991,0.7292652909236216,0.5973351520491536,0.6166621129646059,0.6706839974413827,0.42169313119424756,0.6122716127984664,0.7001179505441135,0.6917,0.6961636672065036,0.5006366163949993,0.6537781759839525,0.6030715739787662,0.3962758155563201,0.6083276056111174,0.6088204637400322,0.49270244600741286,0.7965710450581841,0.39486997379983035,0.5368575646581283,0.6821162121527267,0.5471144161266632,0.4298,0.6332155313410708,0.3857108036892266,0.47047970999724975,0.5738642245619745,0.6988918815028805,0.7044,0.7070029032707825,0.7389659852537297,0.7273,0.6664,0.5802,0.5302613996587195,0.6347322495379482,0.6941,0.7257842780760579,0.6437845921029389,0.6831353423676205,0.679326885057457,0.7918839934249212,0.7602582450194423,0.7078291728053298,0.6102444978017512,0.7446416496861856,0.72983668477098,0.6544877603361571,0.5670807294311225,0.6858386644047152,0.6853310004954525,0.6962339317983942,0.5866374271731611,0.4928426473920917,0.5928018410127107,0.4815903980292049,0.7517083896697011,0.44888455094373503,0.5242977288277111,0.523381602684694,0.49995717506636933,0.7643,0.5535546997896665,0.5048959138131676,0.6440433981047988,0.5021,0.7541870666661973,0.6205893818900119,0.6906189561374549,0.737386213017652,0.3651,0.5825,0.5932444320559647,0.6946171050412019,0.5282813160107398,0.651349111396584,0.8168,0.6725470839223471,0.7092751187865903,0.589078960581163,0.5694445143014331,0.5968362649898353,0.5852279043267743,0.5905075803642796,0.6882,0.6916,0.5985083723426619,0.6252714844278918,0.5973302432950984,0.4294788091591352,0.4797519289315432,0.7157,0.6936423155624909,0.5976872668637588,0.6741650122428567,0.6218462999220872,0.6827086657230037,0.685841980950292,0.6766830225200098,0.4023028530569601,0.5334745674603855,0.462045719382882,0.6038996516815387,0.6058386992413384,0.49721529154619165,0.6689739457329352,0.4879678663963427,0.48289840651948523,0.6045708934492809,0.718800824136126,0.6976973679898324,0.6150471670654724,0.5172661930687329,0.7127794945098885,0.6662058809879174,0.7267,0.586819670969675,0.6830269418588963,0.4609,0.7201,0.56435017457127,0.3951,0.5090162126931401,0.71487395964651,0.48541029941374386,0.4891924277120141,0.516779489120393,0.632641341659388,0.6129936892008381,0.555672044831474,0.47827453925774244,0.5976992878448866,0.6156767356420759,0.5576,0.6777738800087583,0.5474482382640526,0.39108673987056014,0.568123202387048,0.5425240065567863,0.5487416459900802,0.5212651436461125,0.7115384677440197,0.48781354828673523,0.5533630156689768,0.5920932644610063,0.4731320612952404,0.2732596295118111,0.5032272873732352,0.452628599548999,0.6588381801322855,0.4294773961507314,0.33065668452517977,0.28661020016059774,0.4318397598410867,0.4815219001093364,0.4978386807828997,0.693486637617121,0.4443092958906831,0.6522474517386765,0.5413,0.4782,0.3950095637063533,0.5653182873168044,0.6343974642792304,0.5309141350907087,0.4928583889549011,0.4363485022790841,0.6444087823412031,0.5239366649726689,0.4569179208891988,0.3677261364399574,0.2705396874726569,0.3810666578690689,0.4518451452463328,0.6972163341343638,0.5645172483163142,0.4547049322552076,0.34127936741859577,0.45718578063196963,0.399335098704971,0.3538930614110305,0.588602867797873,0.4950996456380486,0.3291015155325406,0.6926397545899561,0.7010487718493013,0.6248032331756848,0.6806,0.5451879999660303,0.647971653330107,0.38897404242536104,0.5746367475412095,0.5199407234124724,0.5931874741363338,0.4456783762311134,0.5651064993129671,0.642128837154366,0.5317476511938652,0.5849758174014182,0.6121298576890469,0.7312183248336063,0.6239485948252549,0.561837553154651,0.57318673517618,0.6369756702225647,0.7454205306538898,0.591129029798431,0.6310639020203762,0.7377362680568051,0.6351976127716857,0.6923588921653482,0.6264101231956749,0.6680868041286585,0.45652481035916737,0.6055087043598796,0.5379821216302786,0.599544549194224,0.6831100705768766,0.6031099935994613,0.5887741155238922,0.7938,0.7224054517486074,0.663787306588943,0.5906087021085962,0.7070284758324303,0.6363131228255307,0.7066377244579654,0.6196242568358263,0.6852216928792236,0.6202632007069289,0.5982,0.7486000418821408,0.7612630759285913,0.68,0.7110252204479415,0.5356709416091755,0.5464,0.5946527750345547,0.7127794276976533,0.6859560965865469,0.5656367387571868,0.6924333675473077,0.5977799135120894,0.5316309533033796,0.6064888198384552,0.5931296848567189,0.5976152212421165,0.6368234572803725,0.6666670252261736,0.6078623520838197,0.7350864953056142,0.6974,0.5587833920798996
1987,0.6754109051550109,0.6488727526946336,0.668660739065061,0.7321502424844959,0.7129244167630858,0.3358125039593494,0.8299660696794394,0.7654842982717942,0.48838020239013114,0.7082630613866432,0.7580760602906375,0.6231220455437823,0.3893,0.5429774327600972,0.6602018792787121,0.3761,0.7156159821450535,0.5574,0.48371765992987503,0.5563462795957649,0.4241193807284084,0.754322070471465,0.4686706092463915,0.6859320304744477,0.6142,0.5889665180619194,0.6436759977630091,0.5501721960386456,0.5401975724031564,0.7283541641629638,0.43551870519291963,0.46042087373190665,0.5556062741145226,0.46032524762354793,0.2382,0.6879916277670937,0.36682894129944216,0.7140374676974227,0.594245982368403,0.49578486142883826,0.5101962708094065,0.42984201091108154,0.5086828300680426,0.5854307665993551,0.3342,0.6070781595720239,0.6739558703913344,0.552457136290149,0.5602665615433626,0.5509505748976236,0.4177141450045835,0.45747169677753463,0.297822484736238,0.5218988501892041,0.6062128925394649,0.2105,0.6887472074709816,0.45176051916370064,0.4988933529935307,0.44,0.6137606572863104,0.7366509368474923,0.7107988236291626,0.7371343911489202,0.570050163299918,0.6776208858277948,0.67234537575462,0.42861851136406626,0.5803797513480292,0.6630633386696997,0.6675,0.6565775669959536,0.44978057383309844,0.691481332067622,0.6037118299186884,0.37810926794241156,0.5773784647165763,0.49111484556213336,0.5438171181342648,0.793229592083402,0.4380803947579834,0.5701545282288023,0.7402773776271023,0.552566211811164,0.3399,0.6289682293133562,0.3732311923593431,0.46020092599769646,0.5350055390521362,0.7136272929968164,0.6252,0.7474942461969734,0.7574266201701981,0.6121,0.6344,0.4892,0.5847968524544196,0.6188030547684883,0.6812,0.7609108990464349,0.6306896250708357,0.6698075819140507,0.6350850259643368,0.7629464101799961,0.7270867404245195,0.6949631866880119,0.6695042649239797,0.7591035363523755,0.7126638645140003,0.5749344924280082,0.6373867743177672,0.671434225860568,0.7079755284048453,0.6757819448524244,0.5301070428871263,0.4210641694807742,0.5543071638534389,0.5224580889432503,0.7586218875152605,0.4164170465406787,0.5107967380820713,0.6004336038319916,0.45706382476676594,0.7962,0.5831965104996574,0.4730253157417109,0.5810110136177493,0.54,0.7492272058031776,0.622267481879872,0.6615717790111868,0.7565015903233581,0.4414,0.5227,0.6208919437096649,0.6585123792535903,0.4994827935306979,0.5509575199385064,0.7889,0.6870614391355696,0.6996315798160325,0.6410650289969354,0.5403539476694089,0.5400340104029513,0.5417095220999253,0.5800257463434778,0.6661,0.6807,0.6109402793353992,0.6300301017504664,0.5912924247556035,0.4170019363680492,0.5345590988834967,0.6851,0.5905744842768973,0.6116984460844862,0.6508593615536474,0.6174603127259122,0.6395394889785307,0.703031740883804,0.5317718369734638,0.48510621376290364,0.5454639616484348,0.44285387398229037,0.6575875749656479,0.5982058230797912,0.4548273467334716,0.701942705388801,0.4702523883022193,0.46247093623114094,0.5449256472547719,0.7387394926891644,0.7141689745775083,0.6062957969411309,0.44718768213659527,0.669898939413228,0.6865778120111548,0.6555,0.5388715059499957,0.5537097170555914,0.3883,0.4767,0.4879211960648458,0.317,0.4073726233877088,0.7048573587843797,0.42507701749194227,0.44204916901452423,0.5039938984338636,0.6219731853841087,0.6096152691540992,0.5384876115820234,0.4478412727467874,0.5370147982620389,0.5593596723559844,0.5355,0.690023606352606,0.5369648019137394,0.34128455107182337,0.5142009983660473,0.5206143171372019,0.572772659181518,0.483337077785841,0.6746947079325853,0.47718002478040833,0.48714750330589734,0.535401520181814,0.5096861029728951,0.4381282272820512,0.45841311445730526,0.5007865599503107,0.5777915625812347,0.4460013077426477,0.3328293228198382,0.31030548536599334,0.40857441743077816,0.4928083291321137,0.4825734258968239,0.7318380349174459,0.5011384629710357,0.6789591123272909,0.5147,0.4431,0.4295788582685216,0.5608500664621993,0.6295443930000695,0.5208767074764964,0.4796532690871131,0.47584398720378845,0.6026781784744791,0.4991428238838951,0.39811157460195085,0.3298979130090932,0.2810079342452045,0.39119453524029874,0.4163804149355536,0.5500791343416596,0.5222948213179314,0.46127991412655284,0.3783672690170887,0.4251830825577647,0.35702330943956867,0.3358290724487078,0.5627689099821761,0.48047485225400016,0.4286049716679183,0.7173185161184142,0.6424463922981731,0.6409487274221277,0.651,0.5825049643974984,0.6225476066065613,0.3694307015425118,0.6638696251588037,0.6070527478318521,0.5623236844699557,0.48228236044301803,0.5369314155948521,0.6269608031787868,0.5236825573203819,0.5969269642780292,0.5431606850555274,0.6942948991872002,0.6435232009199539,0.5340626575043532,0.5147121874369981,0.5849035652636193,0.6790298919805681,0.5491595097057625,0.539673101831315,0.7181334412602043,0.492217525239407,0.7417209484531951,0.5670649194181306,0.5985399725328759,0.555210465195803,0.6268784675896963,0.5083091859219784,0.5931609799189516,0.6802535835695966,0.5428856735376365,0.5605834323433466,0.6981,0.6818113442778624,0.5925873788095876,0.601128903838438,0.6593794145025644,0.5731186621351717,0.6556816953938422,0.549670170012324,0.6678436376462288,0.5789711594384321,0.587,0.7247792714268898,0.7457445298490061,0.6001,0.6949326416301677,0.5191584480598683,0.4616,0.592783872747892,0.7473613688615246,0.6854169836967766,0.6180593011696487,0.7449800100966155,0.6500412641863971,0.5067694596815742,0.6155215653483475,0.6410454197463769,0.7106152927403062,0.5729891101221762,0.6329085532713106,0.6147969997681567,0.7324194274890381,0.594,0.6034407909046868
