2026-04-29 23:44:50 | INFO | goshawk_threshold_zone | Log file: C:\Users\mbindl\Documents\GitHub\Monitoring\Wildlife\logs\goshawk_threshold_zone_2026-04-29_234450.log
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | ============================================================
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | TRPA Goshawk Threshold Zone (v1)
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | ============================================================
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Source GDB:   C:\GIS\Scratch.gdb
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Output GDB:   C:\GIS\Goshawk_Threshold_Zone.gdb
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Nests FC:     C:\GIS\Scratch.gdb\nogo_nest_usfs
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | HIGH habitat: C:\GIS\Scratch.gdb\amgo_ecobject_cwhr_habmodel_high
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | MOD habitat:  C:\GIS\Scratch.gdb\amgo_ecobject_cwhr_habmodel_moderate
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Output FC:    C:\GIS\Goshawk_Threshold_Zone.gdb\TRPA_Goshawk_Threshold_Zone
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Target ac: 500.0 | Buffer: 0.25 Miles | search: 5 Miles | min_acres: 0.5 | close: 200 Feet
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Probe: every 5 picks, homestretch within 100.0 ac
2026-04-29 23:44:53 | INFO | goshawk_threshold_zone | Replacing existing C:\GIS\Goshawk_Threshold_Zone.gdb\TRPA_Goshawk_Threshold_Zone
2026-04-29 23:45:00 | INFO | goshawk_threshold_zone | Nests to process: 138
2026-04-29 23:53:27 | INFO | goshawk_threshold_zone | [  1/138]  2011A Sierra Creek                   Total= 502.8  picks=100  507.3s
2026-04-30 00:01:05 | INFO | goshawk_threshold_zone | [  2/138]  2004J Watson Creek                   Total= 500.2  picks= 85  457.6s
2026-04-30 00:10:09 | INFO | goshawk_threshold_zone | [  3/138]  2011B McKinney Creek                 Total= 505.5  picks=110  544.0s
2026-04-30 00:13:38 | INFO | goshawk_threshold_zone | [  4/138]  1978A Bliss Creek                    Total= 504.9  picks=110  207.9s
2026-04-30 00:18:06 | INFO | goshawk_threshold_zone | [  5/138]  1979B Marlette Creek                 Total= 515.7  picks=155  268.6s
2026-04-30 00:22:24 | INFO | goshawk_threshold_zone | [  6/138]  1987C Burke Creek Upper              Total= 184.8  picks= 23  257.9s  WARNING short
2026-04-30 00:36:41 | INFO | goshawk_threshold_zone | [  7/138]  1981B Angora Creek                   Total= 511.0  picks= 75  856.3s
2026-04-30 00:44:40 | INFO | goshawk_threshold_zone | [  8/138]  1993D Griff Creek                    Total= 505.0  picks= 80  478.7s
2026-04-30 01:03:41 | INFO | goshawk_threshold_zone | [  9/138]  1991B Saxon Creek                    Total= 500.1  picks= 94  1140.5s
2026-04-30 01:21:07 | INFO | goshawk_threshold_zone | [ 10/138]  1981G Trout Creek                    Total= 526.3  picks= 99  1045.4s
2026-04-30 01:36:30 | INFO | goshawk_threshold_zone | [ 11/138]  1989A Cold Creek Upper               Total= 514.6  picks=115  922.2s
2026-04-30 01:48:30 | INFO | goshawk_threshold_zone | [ 12/138]  1992K Sugar Pine Point SP            Total= 511.7  picks=105  718.3s
2026-04-30 01:58:00 | INFO | goshawk_threshold_zone | [ 13/138]  1992I Painted Rock                   Total= 518.9  picks= 40  570.1s
2026-04-30 02:15:09 | INFO | goshawk_threshold_zone | [ 14/138]  1992L Saxon Creek                    Total= 573.0  picks= 81  1028.4s
2026-04-30 02:34:16 | INFO | goshawk_threshold_zone | [ 15/138]  1998F Trout Creek                    Total= 502.4  picks= 92  1145.5s
2026-04-30 02:48:18 | INFO | goshawk_threshold_zone | [ 16/138]  1991A Tahoe Mountain                 Total= 549.2  picks= 89  841.8s
2026-04-30 02:57:48 | INFO | goshawk_threshold_zone | [ 17/138]  1999B Painted Rock                   Total= 500.2  picks= 60  568.8s
2026-04-30 03:09:23 | INFO | goshawk_threshold_zone | [ 18/138]  1995A Blackwood Canyon               Total= 500.2  picks=105  695.0s
2026-04-30 03:22:42 | INFO | goshawk_threshold_zone | [ 19/138]  1981H Blackwood Canyon               Total= 527.4  picks=141  797.7s
2026-04-30 03:32:55 | INFO | goshawk_threshold_zone | [ 20/138]  1993F Watson Creek                   Total= 511.2  picks= 95  612.7s
2026-04-30 03:42:56 | INFO | goshawk_threshold_zone | [ 21/138]  2005D Watson Creek                   Total= 516.9  picks= 90  599.9s
2026-04-30 03:52:38 | INFO | goshawk_threshold_zone | [ 22/138]  2000A Burton Creek                   Total= 536.6  picks= 53  582.3s
2026-04-30 04:02:22 | INFO | goshawk_threshold_zone | [ 23/138]  2001B Burton Creek                   Total= 538.8  picks= 52  582.7s
2026-04-30 04:12:37 | INFO | goshawk_threshold_zone | [ 24/138]  2002A Burton Creek                   Total= 571.6  picks= 74  615.0s
2026-04-30 04:22:02 | INFO | goshawk_threshold_zone | [ 25/138]  2003I Burton Creek                   Total= 537.9  picks= 50  564.2s
2026-04-30 04:31:43 | INFO | goshawk_threshold_zone | [ 26/138]  2004D Burton Creek                   Total= 548.9  picks= 47  580.3s
2026-04-30 04:41:07 | INFO | goshawk_threshold_zone | [ 27/138]  2005C Burton Creek                   Total= 513.7  picks= 45  563.0s
2026-04-30 04:48:41 | INFO | goshawk_threshold_zone | [ 28/138]  1984A Griff Creek                    Total= 505.9  picks= 45  453.0s
2026-04-30 04:56:13 | INFO | goshawk_threshold_zone | [ 29/138]  1992E Griff Creek                    Total= 507.0  picks= 35  452.1s
2026-04-30 05:04:05 | INFO | goshawk_threshold_zone | [ 30/138]  1997A Griff Creek                    Total= 524.6  picks= 45  470.9s
2026-04-30 05:11:13 | INFO | goshawk_threshold_zone | [ 31/138]  2005E Griff Creek                    Total= 527.8  picks= 25  427.1s
2026-04-30 05:22:09 | INFO | goshawk_threshold_zone | [ 32/138]  2000B Alpine Ridge                   Total= 500.2  picks= 85  655.7s
2026-04-30 05:33:13 | INFO | goshawk_threshold_zone | [ 33/138]  2001D Alpine Ridge                   Total= 529.5  picks= 90  664.0s
2026-04-30 05:45:04 | INFO | goshawk_threshold_zone | [ 34/138]  1998E Sugar Pine Point SP            Total= 510.6  picks=120  710.7s
2026-04-30 05:57:03 | INFO | goshawk_threshold_zone | [ 35/138]  2000C Sugar Pine Point SP            Total= 514.0  picks=130  717.4s
2026-04-30 06:09:17 | INFO | goshawk_threshold_zone | [ 36/138]  2001E Sugar Pine Point SP            Total= 501.8  picks= 96  733.7s
