2026-04-28 18:44:53 | INFO | goshawk_threshold_zone | Log file: C:\Users\mbindl\Documents\GitHub\Monitoring\Wildlife\logs\goshawk_threshold_zone_2026-04-28_184453.log
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | ============================================================
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | TRPA Goshawk Threshold Zone
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | ============================================================
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Source GDB:   C:\GIS\Scratch.gdb (read-only)
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Output GDB:   C:\GIS\Goshawk_Threshold_Zone.gdb
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Nests FC:     nogo_nest_usfs
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | HIGH habitat: amgo_ecobject_cwhr_habmodel_high
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | MOD habitat:  amgo_ecobject_cwhr_habmodel_moderate
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Veg source:   C:\GIS\TahoeMaps\Tahoe_Data.gdb\Vegetation_Ecobject_2010 (LOW = veg - HIGH - MOD per-nest)
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Output FC:    C:\GIS\Goshawk_Threshold_Zone.gdb\TRPA_Goshawk_Threshold_Zone_TEST_SHORTS
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | TEST mode:    OIDs=[6, 51, 53, 58, 74, 75, 76, 86, 99, 121] (label=SHORTS)
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Target ac:    500.0 | Buffer: 0.25 Miles | min_acres: 0.5 | search: 5 Miles
2026-04-28 18:44:54 | INFO | goshawk_threshold_zone | Close dist:   200 Feet | probe every: 5 picks | homestretch: 50.0 ac
2026-04-28 18:44:58 | INFO | goshawk_threshold_zone | TEST MODE: running 10 specific OID(s): [6, 51, 53, 58, 74, 75, 76, 86, 99, 121]
2026-04-28 18:44:58 | INFO | goshawk_threshold_zone | [1/10] Nest OID 6
2026-04-28 18:44:58 | INFO | goshawk_threshold_zone |   [  0.5s] buffer ok (125.5 ac, need 374.5 more)
2026-04-28 18:45:01 | INFO | goshawk_threshold_zone |   [  2.7s] HIGH habitat filtered to within 5 Miles of nest
2026-04-28 18:45:05 | INFO | goshawk_threshold_zone |   [  6.9s] MOD habitat filtered to within 5 Miles of nest
2026-04-28 18:45:14 | INFO | goshawk_threshold_zone |   [ 16.1s] source veg filtered to within 5 Miles of nest
2026-04-28 18:45:35 | INFO | goshawk_threshold_zone |   [ 36.9s] LOW derived: 45935 polys kept (excluded 45919 HIGH+MOD UIDs)
2026-04-28 18:45:58 | INFO | goshawk_threshold_zone |   [ 59.7s] erased buffer from HIGH habitat
2026-04-28 18:47:00 | INFO | goshawk_threshold_zone |   [122.1s] erased buffer from MOD habitat
2026-04-28 18:49:06 | INFO | goshawk_threshold_zone |   [248.5s] erased buffer from LOW habitat
2026-04-28 18:50:04 | INFO | goshawk_threshold_zone |   [306.0s] acres calculated on habitat (planar)
2026-04-28 18:50:34 | INFO | goshawk_threshold_zone |   [335.9s] near-distance computed
2026-04-28 18:50:34 | INFO | goshawk_threshold_zone |   [336.4s] entering growth loop
